parking_undistorted-[i].jpg,latitude,longitude,altitude,SFV(%)
parking_undistorted-0.jpg,40.45355916,-3.727043792,660,61.0
parking_undistorted-1.jpg,40.45356234,-3.727010204,660,59.0
parking_undistorted-10.jpg,40.45356415,-3.726980648,660,57.0
parking_undistorted-100.jpg,40.45356592,-3.726951784,660,21.0
parking_undistorted-101.jpg,40.45356703,-3.72692036,660,25.0
parking_undistorted-102.jpg,40.45357105,-3.726887682,660,24.0
parking_undistorted-103.jpg,40.45357295,-3.726861927,660,21.0
parking_undistorted-104.jpg,40.453575,-3.726839234,660,29.0
parking_undistorted-105.jpg,40.45357858,-3.726802818,660,22.0
parking_undistorted-106.jpg,40.45358077,-3.726774091,660,23.0
parking_undistorted-107.jpg,40.45358512,-3.726742735,660,22.0
parking_undistorted-108.jpg,40.45332061,-3.72650988,660,16.0
parking_undistorted-109.jpg,40.4533206,-3.726539608,660,21.0
parking_undistorted-11.jpg,40.45331659,-3.726568019,660,56.0
parking_undistorted-110.jpg,40.45331289,-3.726597734,660,22.0
parking_undistorted-111.jpg,40.4533125,-3.726626953,660,27.0
parking_undistorted-112.jpg,40.45330827,-3.726657261,660,33.0
parking_undistorted-12.jpg,40.45330693,-3.726686112,660,55.0
parking_undistorted-13.jpg,40.45330176,-3.72671172,660,54.0
parking_undistorted-14.jpg,40.45329051,-3.726754445,660,49.0
parking_undistorted-15.jpg,40.453278,-3.726721574,660,51.0
parking_undistorted-16.jpg,40.4535867,-3.726711449,660,44.0
parking_undistorted-17.jpg,40.45325312,-3.726720575,660,61.0
parking_undistorted-18.jpg,40.45323462,-3.726720129,660,62.0
parking_undistorted-19.jpg,40.45317758,-3.726772252,660,65.0
parking_undistorted-2.jpg,40.45359104,-3.726679653,660,59.0
parking_undistorted-20.jpg,40.45359473,-3.72664919,660,63.0
parking_undistorted-21.jpg,40.45359195,-3.726603197,660,65.0
parking_undistorted-22.jpg,40.45365306,-3.726559385,660,80.0
parking_undistorted-23.jpg,40.45368014,-3.726561342,660,67.0
parking_undistorted-24.jpg,40.45369959,-3.726568055,660,68.0
parking_undistorted-25.jpg,40.45366874,-3.726676131,660,68.0
parking_undistorted-26.jpg,40.45366488,-3.726705828,660,82.0
parking_undistorted-27.jpg,40.4536609,-3.726736875,660,71.0
parking_undistorted-28.jpg,40.45366013,-3.726765565,660,72.0
parking_undistorted-29.jpg,40.45365787,-3.726797129,660,67.0
parking_undistorted-3.jpg,40.45365384,-3.726822951,660,59.0
parking_undistorted-30.jpg,40.45364973,-3.726854977,660,60.0
parking_undistorted-31.jpg,40.45364579,-3.726885472,660,52.0
parking_undistorted-32.jpg,40.45364161,-3.726918278,660,57.0
parking_undistorted-33.jpg,40.45363814,-3.72697701,660,61.0
parking_undistorted-34.jpg,40.45363394,-3.727009865,660,56.0
parking_undistorted-35.jpg,40.45362876,-3.72703544,660,54.0
parking_undistorted-36.jpg,40.45359972,-3.727169963,660,52.0
parking_undistorted-37.jpg,40.45364688,-3.727180047,660,49.0
parking_undistorted-38.jpg,40.45371263,-3.727117076,660,49.0
parking_undistorted-39.jpg,40.45371921,-3.727061922,660,43.0
parking_undistorted-4.jpg,40.45372205,-3.727003015,660,58.0
parking_undistorted-40.jpg,40.45372663,-3.726944506,660,39.0
parking_undistorted-41.jpg,40.45373168,-3.726882231,660,41.0
parking_undistorted-42.jpg,40.45373932,-3.726818806,660,65.0
parking_undistorted-43.jpg,40.45373552,-3.726759757,660,68.0
parking_undistorted-44.jpg,40.45374294,-3.72669245,660,43.0
parking_undistorted-45.jpg,40.45285772,-3.726872135,660,44.0
parking_undistorted-46.jpg,40.45290455,-3.72686714,660,41.0
parking_undistorted-47.jpg,40.45292635,-3.726863828,660,64.0
parking_undistorted-48.jpg,40.45296642,-3.726867583,660,41.0
parking_undistorted-49.jpg,40.45299012,-3.726870797,660,41.0
parking_undistorted-5.jpg,40.45302724,-3.726882864,660,57.0
parking_undistorted-50.jpg,40.45304579,-3.72688005,660,41.0
parking_undistorted-51.jpg,40.45293587,-3.726820032,660,44.0
parking_undistorted-52.jpg,40.45298204,-3.726830064,660,46.0
parking_undistorted-53.jpg,40.4530281,-3.726840067,660,43.0
parking_undistorted-54.jpg,40.45305944,-3.726843483,660,39.0
parking_undistorted-55.jpg,40.45307366,-3.726889134,660,0.0
parking_undistorted-56.jpg,40.45309998,-3.726894106,660,32.0
parking_undistorted-57.jpg,40.45310295,-3.726849213,660,42.0
parking_undistorted-58.jpg,40.45287689,-3.726978257,660,47.0
parking_undistorted-59.jpg,40.45289715,-3.727017089,660,40.0
parking_undistorted-6.jpg,40.45294413,-3.727024854,660,57.0
parking_undistorted-60.jpg,40.45293741,-3.726983552,660,45.0
parking_undistorted-61.jpg,40.45297781,-3.726994815,660,49.0
parking_undistorted-62.jpg,40.45298835,-3.727039958,660,49.0
parking_undistorted-63.jpg,40.45302872,-3.72704711,660,46.0
parking_undistorted-64.jpg,40.45301453,-3.72700233,660,48.0
parking_undistorted-65.jpg,40.4530394,-3.727004941,660,45.0
parking_undistorted-66.jpg,40.45304617,-3.727049781,660,25.0
parking_undistorted-67.jpg,40.45305424,-3.727052983,660,22.0
parking_undistorted-68.jpg,40.45309443,-3.727060542,660,36.0
parking_undistorted-69.jpg,40.45313319,-3.727093023,660,36.0
parking_undistorted-7.jpg,40.45316563,-3.727097256,660,56.0
parking_undistorted-70.jpg,40.45313258,-3.727030774,660,38.0
parking_undistorted-71.jpg,40.45313836,-3.727003597,660,37.0
parking_undistorted-72.jpg,40.45314014,-3.72697888,660,37.0
parking_undistorted-73.jpg,40.45313964,-3.726949506,660,37.0
parking_undistorted-74.jpg,40.45314981,-3.726873866,660,35.0
parking_undistorted-75.jpg,40.45315252,-3.72684087,660,38.0
parking_undistorted-76.jpg,40.45315734,-3.726817967,660,35.0
parking_undistorted-77.jpg,40.45314302,-3.726761176,660,32.0
parking_undistorted-78.jpg,40.45314642,-3.726735261,660,29.0
parking_undistorted-79.jpg,40.45315525,-3.72671141,660,25.0
parking_undistorted-8.jpg,40.45315833,-3.726679207,660,56.0
parking_undistorted-80.jpg,40.45319911,-3.726611612,660,60.0
parking_undistorted-81.jpg,40.45321196,-3.726538603,660,42.0
parking_undistorted-82.jpg,40.45320515,-3.7265513,660,16.0
parking_undistorted-83.jpg,40.45321794,-3.726492785,660,27.0
parking_undistorted-84.jpg,40.45321977,-3.726467111,660,18.0
parking_undistorted-85.jpg,40.4532218,-3.726446325,660,19.0
parking_undistorted-86.jpg,40.4532164,-3.726432018,660,20.0
parking_undistorted-87.jpg,40.45322048,-3.726408355,660,22.0
parking_undistorted-88.jpg,40.45322316,-3.726374448,660,22.0
parking_undistorted-89.jpg,40.45322746,-3.726347948,660,22.0
parking_undistorted-9.jpg,40.45323231,-3.726320305,660,56.0
parking_undistorted-90.jpg,40.4532418,-3.726293032,660,23.0
parking_undistorted-91.jpg,40.45322541,-3.726659774,660,0.0
parking_undistorted-92.jpg,40.45322874,-3.726611343,660,18.0
parking_undistorted-93.jpg,40.45322735,-3.726581414,660,30.0
parking_undistorted-94.jpg,40.45323331,-3.726549822,660,0.0
parking_undistorted-95.jpg,40.45324093,-3.726530321,660,0.0
parking_undistorted-96.jpg,40.45324388,-3.726511151,660,0.0
parking_undistorted-97.jpg,40.45324789,-3.726479695,660,0.0
parking_undistorted-98.jpg,40.45325269,-3.726455954,660,0.0
parking_undistorted-99.jpg,40.4533232,-3.72647914,660,22.0
